palavra,frequencia
deus,116
bolsonaro,96
presidente,82
brasil,66
nikolas,44
preso,36
povo,34
semanistia,29
país,28
chupetinha,28
verdade,26
senhor,25
verme,25
melhor,24
cassado,24
jair,23
abençoe,22
homem,21
justiça,21
pec,21
lula,20
nação,18
vida,18
ferreira,17
contra,16
pessoas,15
direita,15
saudade,14
exército,14
pátria,14
família,14
jairmessiasbolsonaro,14
capitão,14
força,13
nicolas,13
história,12
saiu,12
messias,12
esperança,12
deputado,12
dinheiro,12
proteja,11
expulso,11
misericórdia,11
amém,11
esquerda,11
palavras,11
bem,11
taxaçãodegrandesfortunas,11
projeto,10
favor,10
política,10
nome,10
brasileiros,10
bandidagem,10
davialcolumbre,10
hugomottapb,10
semdosimetria,10
taxaçãodossuperricosjá,10
isençãodeimpostoderendajá,10
fimdaescalaxjá,10
cassaçãodobananinha,10
cassacaodoeduardobolsonaroja,10
cassacaodacarlaxambelli,10
cassaçãodacarlazambelijá,10
blindagem,9
vergonha,9
golpe,9
saudades,9
obrigada,9
𝗕𝗢𝗟𝗦𝗢𝗡𝗔𝗥𝗢,9
𝗣𝗔𝗣𝗨𝗗𝗔,9
milhões,9
certo,8
jesus,8
corrupção,8
bandido,8
anistia,8
parabéns,8
vagabundo,8
pobre,8
liberdade,7
coragem,7
nenhum,7
realmente,7
brasileiro,7
tentou,7
estado,7
eterno,7
mal,7
viva,7
piada,7
fundo,7
mito,7
mil,6
fim,6
respeito,6
merece,6
mundo,6
comentários,6
carta,6
lindo,6
cadeia,6
defendeu,6
votou,6
acima,6
verdadeira,6
defender,6
acreditar,6
saúde,6
dias,5
discurso,5
simples,5
vou,5
pandemia,5
mulher,5
cada,5
nikolasferreiradm,5
futuro,5
injustiça,5
controle,5
próprio,5
trabalhador,5
representa,5
conta,5
lado,5
própria,5
projetos,5
honesta,5
orgulho,5
apoio,5
direito,5
bilhões,5
muitos,5
ricos,5
educação,5
honesto,4
voz,4
consciência,4
tempos,4
somente,4
luta,4
sinto,4
precisamos,4
tentar,4
pai,4
sistema,4
desistir,4
jamais,4
kkkkkkkkk,4
acabou,4
governo,4
olhos,4
trabalho,4
medo,4
existe,4
claro,4
rio,4
envolver,4
bom,4
injustiças,4
morrer,4
fiel,4
voto,4
quartel,4
ovo,4
juntos,4
muitas,4
erro,4
ditadura,4
defendendo,4
contigo,4
nikolaseopcctudoaver,4
realidade,4
mentira,4
militar,4
filhos,4
defende,4
político,4
população,4
choro,4
amamos,4
políticos,4
vídeos,4
guarde,4
emocionante,4
ajude,4
iguais,4
fgts,4
votar,4
social,4
novamente,4
parte,4
linda,4
elite,4
vence,4
golpista,4
lixo,4
peso,3
morte,3
justo,3
soube,3
pena,3
lutar,3
emocionei,3
lágrimas,3
câncer,3
passou,3
dor,3
receba,3
prisão,3
chamado,3
forma,3
ódio,3
melhores,3
calar,3
acredita,3
federal,3
amigos,3
humilde,3
imóveis,3
dilma,3
tantas,3
mulheres,3
valores,3
famílias,3
trabalhar,3
condenado,3
merda,3
mês,3
luz,3
acreditam,3
divina,3
mensagem,3
paz,3
amor,3
mão,3
age,3
coração,3
prevalecer,3
lindas,3
baba,3
acabar,3
inimigo,3
justos,3
coisas,3
próximo,3
sair,3
união,3
parlamentares,3
novo,3
segue,3
venceremos,3
maior,3
falando,3
república,3
reforma,3
santos,3
pessoa,3
virou,3
fatos,3
vencer,3
razão,3
compromisso,3
crueldade,3
precisam,3
importante,3
verdadeiro,3
frente,3
algo,3
sério,3
desde,3
amo,3
ordem,3
classe,3
fogo,3
salário,3
meio,3
triste,3
corrupto,3
jeito,3
amada,3
homenagem,3
fará,3
desista,3
bla,3
democracia,3
chorei,3
irá,3
mentiroso,3
único,3
chorar,3
iria,3
hugo,3
motta,3
davi,3
alcolumbre,3
partidos,3
peço,3
continue,3
dois,3
sentindo,3
oremos,3
explodir,3
honestidade,3
querido,3
pintou,3
clima,3
pl_,3
brasília,3
taxar,3
mostrar,3
rico,3
privilégios,3
sociais,3
dignidade,3
fome,3
apagar,3
vacina,3
papuda,3
rachadinha,3
humano,2
certeza,2
vale,2
nicholas,2
tantos,2
silêncio,2
enfrenta,2
além,2
liderança,2
pele,2
gratidão,2
alguém,2
transformar,2
relevância,2
ajuda,2
visto,2
vejo,2
caminho,2
seguem,2
sinceramente,2
chat,2
jóias,2
enfrentou,2
deixou,2
abrir,2
situações,2
aberta,2
difícil,2
lei,2
autoria,2
impeachment,2
torturador,2
desejou,2
morresse,2
especialmente,2
tortura,2
cheio,2
manipular,2
apresentou,2
boca,2
contrário,2
chamou,2
destruiu,2
escândalos,2
inocente,2
quanto,2
quanta,2
fácil,2
gado,2
achando,2
vota,2
mãos,2
caia,2
saia,2
representam,2
oração,2
proteção,2
vitória,2
traga,2
caminhos,2
janeiro,2
certa,2
trevas,2
levanta,2
carrega,2
virá,2
creio,2
diferença,2
exercito,2
atentado,2
terrorista,2
comum,2
gabinete,2
foda,2
apodreça,2
sábias,2
tamos,2
ímpios,2
contas,2
rei,2
julgamento,2
ficarão,2
parecem,2
trono,2
governos,2
grupos,2
globo,2
pertence,2
ridículo,2
cima,2
defensor,2
parlamento,2
aprovou,2
adianta,2
fingir,2
mandado,2
segurança,2
stf,2
deputada,2
pediu,2
secreto,2
aparece,2
figuras,2
primo,2
lavagem,2
orando,2
maria,2
motivo,2
administrativa,2
presidiário,2
renan,2
toma,2
problema,2
incrível,2
espero,2
honra,2
consegui,2
perigoso,2
encontra,2
busca,2
factual,2
dados,2
ama,2
desinformação,2
ameaça,2
mentiras,2
consequências,2
ataques,2
sofrimento,2
sozinho,2
atacar,2
convencer,2
destruição,2
sabendo,2
perdeu,2
preço,2
siga,2
abriu,2
quero,2
gosta,2
temer,2
tarcísio,2
guerra,2
sociedade,2
deveria,2
terra,2
ação,2
perseguição,2
presos,2
livre,2
jogou,2
limpo,2
patético,2
racista,2
obgda,2
assisto,2
pessoal,2
tadinho,2
nicole,2
covarde,2
estuve,2
porém,2
impressionante,2
engraçado,2
assuntos,2
santo,2
ajudar,2
guardou,2
passa,2
jovem,2
tentando,2
burro,2
esperando,2
emocionada,2
voltará,2
negro,2
grandes,2
últimos,2
falso,2
satanás,2
quinto,2
pegar,2
magnitsky,2
republicanos,2
feita,2
eleições,2
alexandre,2
moraes,2
dino,2
olá,2
pdl,2
resolução,2
valor,2
antecipar,2
acesso,2
governantes,2
fico,2
importa,2
economia,2
momento,2
poucos,2
volte,2
governar,2
cuida,2
caráter,2
presente,2
porra,2
apresentado,2
oque,2
acontecendo,2
cerca,2
império,2
vargas,2
governado,2
quase,2
pobres,2
bando,2
coerência,2
passei,2
noite,2
falta,2
sentir,2
pesquisar,2
serviço,2
público,2
colocar,2
efetivos,2
totalmente,2
ruas,2
urnas,2
poderia,2
filho,2
nikolasinimigodopovo,2
graças,2
mandato,2
câmara,2
glubs,2
bets,2
bilionários,2
mim,2
casas,2
impossível,2
ilusão,2
eleição,2
votos,2
garantir,2
congresso,2
atual,2
tentativa,2
justamente,2
mesmos,2
banqueiro,2
bilionário,2
lucro,2
chorando,2
ideia,2
promova,2
contribua,2
autoridades,2
interesse,2
causa,2
preto,2
muita,2
harmonia,2
nasce,2
servir,2
levantar,2
saque,2
prejudicar,2
pcc,2
tetas,2
vidas,2
daqui,2
propósito,2
vivo,2
comentário,2
conseguir,2
mãe,2
puder,2
feliz,2
faça,2
canalha,2
escolhido,2
inss,2
amado,2
infelizmente,2
super,2
tomar,2
olho,2
mudar,2
braços,2
maravilhoso,2
mente,2
mlk,2
vagabundagem,2
sensacional,2
deste,2
acredito,2
ambos,2
explica,2
chama,2
imensamente,2
bons,2
branca,2
naqueles,2
espera,2
veio,2
nordeste,2
responder,2
fizeram,2
esqueceram,2
época,2
rua,2
cadê,2
responsável,2
comprou,2
nikole,2
covid,2
eternamente,2
mandatos,2
leva,2
carregava,1
ombros,1
começando,1
avante,1
sensível,1
bemhumorado,1
forte,1
resiliente,1
despertar,1
vêlo,1
ouvilo,1
levante,1
estados,1
unidos,1
assistir,1
memória,1
curta,1
admirável,1
persistem,1
levar,1
amparo,1
preferem,1
orações,1
estresse,1
mutação,1
positiva,1
desafio,1
carinho,1
admiração,1
humilhadas,1
exaltados,1
exércitokkkkkkkkkkkkkkk,1
doloroso,1
situação,1
tristeza,1
enxergo,1
reflexão,1
aprender,1
erros,1
unir,1
inteligente,1
estratégia,1
virão,1
desistirmos,1
líderes,1
possa,1
honrar,1
exércitos,1
clama,1
pede,1
socorro,1
massacrado,1
incomodando,1
pegando,1
gpt,1
considerar,1
ironia,1
condiçãoooooo,1
libertem,1
sauditas,1
pegou,1
quebrado,1
dificuldades,1
financeiras,1
quebrasse,1
simplesmente,1
arrepiar,1
evitar,1
graves,1
lamentáveis,1
desvenda,1
oramos,1
filme,1
terror,1
texto,1
igpt,1
encontrar,1
legado,1
relevante,1
nenhuma,1
aprovada,1
transformado,1
décadas,1
discursos,1
vazios,1
provocações,1
insultos,1
presidenta,1
rousseff,1
escolheu,1
homenagear,1
fria,1
cruel,1
arrependimento,1
assustador,1
admiram,1
venerar,1
exalta,1
arrastou,1
multidões,1
mérito,1
fantasma,1
comunismo,1
sequer,1
uso,1
estratégico,1
lema,1
cereja,1
bolo,1
prato,1
corações,1
mentes,1
essência,1
refletido,1
cristãos,1
invoca,1
dizia,1
proferia,1
ofensas,1
palavrões,1
preconceitos,1
batizou,1
jordão,1
renasceu,1
atitudes,1
revelaram,1
encerrar,1
deixo,1
agradecimento,1
autoproclamado,1
imorrível,1
imbroxável,1
incomível,1
condução,1
desastrosa,1
custou,1
gripezinha,1
inteiras,1
assino,1
total,1
desprezo,1
chris,1
tornozeleira,1
der,1
abre,1
circo,1
palhaçada,1
entende,1
teatro,1
coitadinho,1
moço,1
bonzinho,1
sorriso,1
espontâneo,1
apelando,1
voces,1
ileso,1
narrativas,1
ações,1
ignore,1
soltura,1
deseja,1
abençoado,1
milagres,1
leia,1
fazemos,1
corrente,1
poderosa,1
momentos,1
difíceis,1
possíveis,1
abra,1
derrube,1
muralhas,1
libertação,1
envie,1
especiais,1
compartilhar,1
milagre,1
neste,1
clamam,1
diante,1
clareza,1
felizmente,1
desver,1
corrigir,1
soltar,1
bombas,1
segundo,1
existia,1
rachadinhas,1
práticas,1
jbbnagatahpsarmc,1
palhaço,1
sustente,1
anistiaja,1
perceberam,1
festa,1
poderoso,1
ouvirão,1
culpa,1
aterrorizados,1
destruído,1
retribua,1
sam,1
semeia,1
colhe,1
desgraça,1
superados,1
ímpiosmas,1
cometa,1
pensar,1
corrigirá,1
vingará,1
exaltará,1
exercerá,1
opõem,1
nancy,1
demoss,1
wolgemuth,1
corporações,1
reivindicar,1
partes,1
àquele,1
criou,1
cria,1
marginal,1
mamar,1
baixa,1
egua,1
fresco,1
extrema,1
tiro,1
triunfa,1
caos,1
congnitivo,1
rebanho,1
retartados,1
mentais,1
tranquilo,1
chupeta,1
ídolo,1
gênio,1
soluçar,1
dodói,1
golpist,1
milicino,1
vgbundo,1
arrependidos,1
três,1
deputados,1
pediram,1
desculpas,1
pedro,1
campos,1
entrou,1
retratou,1
favorece,1
bandidos,1
retratar,1
marcar,1
escândalo,1
blindar,1
ligado,1
republicanas,1
tráfico,1
drogas,1
apoiou,1
gilberto,1
horta,1
crimes,1
ambientais,1
pecdabandidagem,1
temas,1
adiante,1
confia,1
abandona,1
salva,1
céu,1
aborto,1
natalidade,1
votando,1
medidas,1
penha,1
entrevista,1
marido,1
bate,1
elegeu,1
usando,1
petista,1
doendo,1
correçãorepresentou,1
chora,1
acorda,1
presídio,1
ficha,1
suja,1
entra,1
rouba,1
inocentes,1
concordo,1
plenamente,1
gloria,1
ora,1
ansiosamente,1
visões,1
asqueroso,1
ecossistema,1
construiu,1
redor,1
prospera,1
plateia,1
sensação,1
custo,1
contexto,1
importam,1
discussão,1
humilhar,1
reafirmar,1
crenças,1
prontas,1
escolha,1
consciente,1
rejeitar,1
atrapalha,1
narrativa,1
trata,1
ignorância,1
recusa,1
deliberada,1
identidade,1
relativizadas,1
contradições,1
ignoradas,1
reais,1
tratadas,1
exagero,1
comportamento,1
alimenta,1
radicalização,1
priorizar,1
necessidade,1
apoiadores,1
legitimam,1
simbólicos,1
normalizam,1
transformam,1
alheio,1
dano,1
colateral,1
aceitável,1
vítimas,1
combustível,1
depende,1
dispostas,1
indefensável,1
repetir,1
falas,1
agressivas,1
aponta,1
inconvenientes,1
cumplicidade,1
coletiva,1
torna,1
descartável,1
empatia,1
vista,1
fraqueza,1
clara,1
movimentos,1
desprezam,1
inflamar,1
vira,1
resultado,1
debate,1
perigo,1
escolhe,1
kkkkkkkkkkkkkkkkkkkkkk,1
vermes,1
dispensado,1
cargo,1
pagou,1
alto,1
pfmoura,1
libertou,1
soltsram,1
nolsonaro,1
ninhobdo,1
news,1
revelou,1
incomoda,1
maioria,1
prefere,1
conforto,1
manipulação,1
contadas,1
falsas,1
verdades,1
parem,1
normalizar,1
damares,1
feliciano,1
zema,1
estrumes,1
ganharam,1
espaço,1
campo,1
romperam,1
amizades,1
acabaram,1
empurrada,1
lógica,1
seguindo,1
pequenos,1
invadido,1
conseguem,1
dimensionar,1
gravidade,1
nível,1
doença,1
moral,1
líder,1
preocupado,1
apoiar,1
retiram,1
direitos,1
eleito,1
sentido,1
oposto,1
incentivando,1
cenário,1
resultar,1
urgentemente,1
impedir,1
postura,1
ocupem,1
cargos,1
públicos,1
incitar,1
invasão,1
opinião,1
irresponsabilidade,1
grave,1
legais,1
completamente,1
assumido,1
candidatou,1
bondoso,1
conceda,1
batalha,1
celestial,1
proteger,1
guerrear,1
maligna,1
acabe,1
possamos,1
contemplar,1
libertando,1
oprimidos,1
fracassado,1
ladrão,1
reclama,1
agr,1
zoa,1
nordestinos,1
liberou,1
macoha,1
che,1
guevara,1
textos,1
incríveis,1
bata,1
ounnnn,1
anjos,1
incomparável,1
hahahahahahahaa,1
